사업자 현황 ( 1월/100대 생활업종),,,,,,,,
*조회년월,,2020년 1월,,,,,,
,,,,,,,,
,,,,,,,"(단위 : 인원수, %)",
구분,,, 사업자 수,,,,,
업종,시도,시군구,당월①,전월②,증감율(①/②),전년동월③,증감율(①/③),
 업종전체,경상북도,울릉군, 722 , 722 ,100.00%, 688 ,104.94%,
 업종전체,부산광역시,합계," 158,114 "," 157,496 ",100.39%," 152,769 ",103.50%,
 업종전체,부산광역시,중구," 6,458 "," 6,469 ",99.83%," 6,546 ",98.66%,
 업종전체,부산광역시,강서구," 6,363 "," 6,324 ",100.62%," 5,676 ",112.10%,
 업종전체,부산광역시,동구," 5,829 "," 5,834 ",99.91%," 5,701 ",102.25%,
 업종전체,부산광역시,남구," 10,957 "," 10,936 ",100.19%," 10,632 ",103.06%,
 업종전체,부산광역시,서구," 4,380 "," 4,360 ",100.46%," 4,296 ",101.96%,
 업종전체,부산광역시,북구," 9,716 "," 9,671 ",100.47%," 9,400 ",103.36%,
 업종전체,부산광역시,영도구," 4,069 "," 4,053 ",100.39%," 4,044 ",100.62%,
 업종전체,부산광역시,부산진구," 19,820 "," 19,731 ",100.45%," 19,215 ",103.15%,
 업종전체,부산광역시,동래구," 12,527 "," 12,483 ",100.35%," 12,062 ",103.86%,
 업종전체,부산광역시,해운대구," 17,640 "," 17,522 ",100.67%," 16,933 ",104.18%,
 업종전체,부산광역시,사하구," 11,882 "," 11,846 ",100.30%," 11,597 ",102.46%,
 업종전체,부산광역시,금정구," 10,980 "," 10,941 ",100.36%," 10,712 ",102.50%,
 업종전체,부산광역시,연제구," 10,352 "," 10,297 ",100.53%," 9,869 ",104.89%,
 업종전체,부산광역시,수영구," 9,782 "," 9,720 ",100.64%," 9,320 ",104.96%,
 업종전체,부산광역시,사상구," 9,987 "," 9,957 ",100.30%," 9,816 ",101.74%,
 업종전체,부산광역시,기장군," 7,372 "," 7,352 ",100.27%," 6,950 ",106.07%,
 업종전체,울산광역시,합계," 51,626 "," 51,500 ",100.24%," 50,179 ",102.88%,
 업종전체,울산광역시,중구," 9,818 "," 9,801 ",100.17%," 9,665 ",101.58%,
 업종전체,울산광역시,동구," 6,319 "," 6,320 ",99.98%," 6,274 ",100.72%,
 업종전체,울산광역시,남구," 18,688 "," 18,640 ",100.26%," 18,337 ",101.91%,
 업종전체,울산광역시,북구," 7,510 "," 7,476 ",100.45%," 6,920 ",108.53%,
 업종전체,울산광역시,울주군," 9,291 "," 9,263 ",100.30%," 8,983 ",103.43%,
 업종전체,경상남도,합계," 157,493 "," 157,067 ",100.27%," 152,978 ",102.95%,
 업종전체,경상남도,고성군," 2,338 "," 2,335 ",100.13%," 2,363 ",98.94%,
 업종전체,경상남도,창원시 의창구," 12,164 "," 12,076 ",100.73%," 11,692 ",104.04%,
 업종전체,경상남도,창원시 성산구," 10,324 "," 10,316 ",100.08%," 10,038 ",102.85%,
 업종전체,경상남도,창원시 마산합포구," 9,461 "," 9,445 ",100.17%," 9,203 ",102.80%,
 업종전체,경상남도,창원시 마산회원구," 8,362 "," 8,354 ",100.10%," 8,358 ",100.05%,
 업종전체,경상남도,창원시 진해구," 8,069 "," 8,049 ",100.25%," 7,750 ",104.12%,
 업종전체,경상남도,진주시," 17,919 "," 17,891 ",100.16%," 17,497 ",102.41%,
 업종전체,경상남도,통영시," 7,381 "," 7,353 ",100.38%," 7,236 ",102.00%,
 업종전체,경상남도,사천시," 5,925 "," 5,918 ",100.12%," 5,885 ",100.68%,
 업종전체,경상남도,김해시," 24,241 "," 24,191 ",100.21%," 23,248 ",104.27%,
 업종전체,경상남도,밀양시," 5,008 "," 4,984 ",100.48%," 4,889 ",102.43%,
 업종전체,경상남도,거제시," 11,552 "," 11,522 ",100.26%," 11,274 ",102.47%,
