year,month,city,corp,0
2019,1,대구광역시,예술학원,1345
2019,1,대구광역시,예식장,37
2019,1,대구광역시,옷가게,5358
2019,1,대구광역시,의료용품가게,343
2019,1,대구광역시,이륜자동차판매점,149
2019,1,대구광역시,이발소,586
2019,1,대구광역시,이비인후과 의원,160
2019,1,대구광역시,일반외과 의원,296
2019,1,대구광역시,일식전문점,795
2019,1,대구광역시,자동차수리점,2188
2019,1,대구광역시,자전거판매점,163
2019,1,대구광역시,장난감가게,95
2019,1,대구광역시,정육점,1283
2019,1,대구광역시,제과점,875
2019,1,대구광역시,종합병원,185
2019,1,대구광역시,주유소,329
2019,1,대구광역시,주차장운영업,437
2019,1,대구광역시,중고차판매점,463
2019,1,대구광역시,중식전문점,1222
2019,1,대구광역시,채소가게,422
2019,1,대구광역시,철물점,347
2019,1,대구광역시,치과병원ㆍ의원,898
2019,1,대구광역시,침구ㆍ커튼가게,651
2019,1,대구광역시,커피음료점,2481
2019,1,대구광역시,컴퓨터판매점,226
2019,1,대구광역시,통신판매업,10636
2019,1,대구광역시,패스트푸드점,1283
2019,1,대구광역시,펜션ㆍ게스트하우스,22
2019,1,대구광역시,편의점,1441
2019,1,대구광역시,피부ㆍ비뇨기과 의원,202
2019,1,대구광역시,피부관리업,1395
2019,1,대구광역시,피시방,587
2019,1,대구광역시,한방병원ㆍ한의원,880
2019,1,대구광역시,한식전문점,19565
2019,1,대구광역시,헬스클럽,355
2019,1,대구광역시,호프전문점,587
2019,1,대구광역시,화장품가게,2167
2019,1,대구광역시,휴대폰가게,1005
2019,1,대전광역시,B. 업종전체,68001
2019,1,대전광역시,가구점,214
2019,1,대전광역시,가스충전소,38
2019,1,대전광역시,가전제품수리점,478
2019,1,대전광역시,가전제품판매점,298
2019,1,대전광역시,간이주점,73
2019,1,대전광역시,간판광고물업,394
2019,1,대전광역시,감정평가사,29
2019,1,대전광역시,건강보조식품가게,439
2019,1,대전광역시,건어물가게,113
2019,1,대전광역시,건축사,206
2019,1,대전광역시,결혼상담소,62
2019,1,대전광역시,곡물가게,149
2019,1,대전광역시,공부방,1223
2019,1,대전광역시,공인노무사,19
2019,1,대전광역시,공인회계사,35
2019,1,대전광역시,과일가게,305
2019,1,대전광역시,교습학원,1304
2019,1,대전광역시,구내식당,738
2019,1,대전광역시,기술및직업훈련학원,427
2019,1,대전광역시,기술사,26
2019,1,대전광역시,기타 일반의원,138
2019,1,대전광역시,기타외국식전문점,578
2019,1,대전광역시,기타음식점,586
2019,1,대전광역시,꽃가게,659
2019,1,대전광역시,내과ㆍ소아과 의원,384
2019,1,대전광역시,노래방,1341
2019,1,대전광역시,담배가게,309
2019,1,대전광역시,당구장,541
2019,1,대전광역시,독서실,236
2019,1,대전광역시,동물병원,101
2019,1,대전광역시,목욕탕,100
2019,1,대전광역시,문구점,312
2019,1,대전광역시,미용실,3220
2019,1,대전광역시,법무사,156
2019,1,대전광역시,변리사,90
2019,1,대전광역시,변호사,215
2019,1,대전광역시,부동산중개업,3169
2019,1,대전광역시,분식점,2032
2019,1,대전광역시,사진촬영업,383
2019,1,대전광역시,산부인과 의원,61
2019,1,대전광역시,생선가게,158
2019,1,대전광역시,서점,343
2019,1,대전광역시,성형외과 의원,43
2019,1,대전광역시,세무사,273
2019,1,대전광역시,세탁소,867
2019,1,대전광역시,슈퍼마켓,683
2019,1,대전광역시,스포츠교육기관,771
2019,1,대전광역시,스포츠시설운영업,183
2019,1,대전광역시,스포츠용품점,397
2019,1,대전광역시,시계ㆍ귀금속점,222
2019,1,대전광역시,식료품가게,1430
2019,1,대전광역시,신경정신과 의원,71
2019,1,대전광역시,신발가게,195
2019,1,대전광역시,실내스크린골프점,144
2019,1,대전광역시,실내장식가게,1710
2019,1,대전광역시,실외골프연습장,62
2019,1,대전광역시,안경점,316
2019,1,대전광역시,안과 의원,47
2019,1,대전광역시,애완용품점,268
2019,1,대전광역시,약국,739
2019,1,대전광역시,여관ㆍ모텔,664
2019,1,대전광역시,여행사,316
2019,1,대전광역시,예술학원,907
2019,1,대전광역시,예식장,23
2019,1,대전광역시,옷가게,2834
2019,1,대전광역시,의료용품가게,275
2019,1,대전광역시,이륜자동차판매점,57
2019,1,대전광역시,이발소,406
2019,1,대전광역시,이비인후과 의원,81
2019,1,대전광역시,일반외과 의원,148
2019,1,대전광역시,일식전문점,440
2019,1,대전광역시,자동차수리점,1391
2019,1,대전광역시,자전거판매점,99
2019,1,대전광역시,장난감가게,69
2019,1,대전광역시,정육점,749
2019,1,대전광역시,제과점,477
2019,1,대전광역시,종합병원,99
2019,1,대전광역시,주유소,229
2019,1,대전광역시,주차장운영업,171
2019,1,대전광역시,중고차판매점,164
2019,1,대전광역시,중식전문점,545
2019,1,대전광역시,채소가게,263
2019,1,대전광역시,철물점,285
2019,1,대전광역시,치과병원ㆍ의원,530
2019,1,대전광역시,침구ㆍ커튼가게,426
2019,1,대전광역시,커피음료점,1929
2019,1,대전광역시,컴퓨터판매점,174
2019,1,대전광역시,통신판매업,5367
2019,1,대전광역시,패스트푸드점,997
2019,1,대전광역시,펜션ㆍ게스트하우스,17
2019,1,대전광역시,편의점,1068
2019,1,대전광역시,피부ㆍ비뇨기과 의원,109
2019,1,대전광역시,피부관리업,1083
2019,1,대전광역시,피시방,332
2019,1,대전광역시,한방병원ㆍ한의원,527
2019,1,대전광역시,한식전문점,11507
2019,1,대전광역시,헬스클럽,224
2019,1,대전광역시,호프전문점,1016
2019,1,대전광역시,화장품가게,1220
2019,1,대전광역시,휴대폰가게,680
2019,1,부산광역시,B. 업종전체,152670
2019,1,부산광역시,가구점,512
2019,1,부산광역시,가스충전소,58
2019,1,부산광역시,가전제품수리점,813
2019,1,부산광역시,가전제품판매점,622
2019,1,부산광역시,간이주점,1023
2019,1,부산광역시,간판광고물업,837
2019,1,부산광역시,감정평가사,56
2019,1,부산광역시,건강보조식품가게,801
2019,1,부산광역시,건어물가게,507
2019,1,부산광역시,건축사,669
2019,1,부산광역시,결혼상담소,125
2019,1,부산광역시,곡물가게,342
2019,1,부산광역시,공부방,2215
2019,1,부산광역시,공인노무사,51
2019,1,부산광역시,공인회계사,130
2019,1,부산광역시,과일가게,611
2019,1,부산광역시,교습학원,3505
2019,1,부산광역시,구내식당,1538
2019,1,부산광역시,기술및직업훈련학원,880
2019,1,부산광역시,기술사,60
